"transaction_id","transaction_date","amount","card_number","card_holder_name"
398,"2018-02-11 08:25:36",1.26,3582198969197591,"Stephanie Dalton"
412,"2018-02-13 01:08:02",1.5,5175947111814778,"Gary Jacobs"
420,"2018-02-13 20:23:29",1.92,4723783028106084756,"Kyle Tucker"
462,"2018-02-17 05:55:46",1.27,3581345943543942,"Beth Hernandez"
470,"2018-02-18 10:09:01",1.63,4962915017023706562,"Matthew Gutierrez"
475,"2018-02-18 17:48:32",1.7,180098539019105,"Brandon Pineda"
514,"2018-02-22 17:59:19",0.93,4681896441519,"Stephanie Dalton"
517,"2018-02-23 10:13:27",1.26,4319653513507,"Nancy Contreras"
522,"2018-02-23 14:39:43",0.73,4539990688484983,"Sean Taylor"
527,"2018-02-24 02:18:56",1.13,501879657465,"Megan Price"
530,"2018-02-24 11:53:11",1.13,503842928916,"Crystal Clark"
549,"2018-02-26 01:52:16",1.01,675911140852,"Shane Shaffer"
566,"2018-02-28 02:06:08",0.91,372414832802279,"Nancy Contreras"
567,"2018-02-28 04:36:28",1.41,3535651398328201,"Kevin Spencer"
570,"2018-02-28 13:56:12",1.18,372414832802279,"Nancy Contreras"
582,"2018-03-02 06:42:40",1.49,501879657465,"Megan Price"
584,"2018-03-02 11:05:27",1.92,213193946980303,"Matthew Gutierrez"
585,"2018-03-02 11:42:48",1.37,5135837688671496,"John Martin"
588,"2018-03-02 13:14:30",1.1,30063281385429,"Michael Floyd"
593,"2018-03-02 19:34:07",1.77,4711773125020499,"John Martin"
612,"2018-03-04 12:58:48",1.94,584226564303,"Danielle Green"
618,"2018-03-04 20:48:10",1.13,376027549341849,"Megan Price"
630,"2018-03-05 12:32:16",1.68,4268491956169254,"Sara Cooper"
647,"2018-03-07 04:00:16",1.41,180098539019105,"Brandon Pineda"
652,"2018-03-07 18:43:44",1.26,3561954487988605,"John Martin"
658,"2018-03-08 07:46:00",1.37,5175947111814778,"Gary Jacobs"
664,"2018-03-08 18:56:27",1.32,4586962917519654607,"Kevin Spencer"
689,"2018-03-10 05:41:14",1.68,5175947111814778,"Gary Jacobs"
695,"2018-03-10 23:00:35",0.76,3517111172421930,"Robert Johnson"
717,"2018-03-12 09:08:18",1.65,372414832802279,"Nancy Contreras"
723,"2018-03-12 21:31:02",1.62,501809222273,"Austin Johnson"
728,"2018-03-13 11:42:46",1.88,4723783028106084756,"Kyle Tucker"
754,"2018-03-16 10:19:31",1.97,376027549341849,"Megan Price"
778,"2018-03-18 20:00:59",1.56,5361779664174555,"Peter Mckay"
781,"2018-03-18 23:29:47",1.56,4711773125020499,"John Martin"
783,"2018-03-19 05:53:26",0.92,344119623920892,"Malik Carlson"
801,"2018-03-20 17:15:15",1.64,4866761290278198714,"Shane Shaffer"
804,"2018-03-21 08:07:16",1.77,5570600642865857,"Crystal Clark"
821,"2018-03-23 07:13:23",1.46,376027549341849,"Megan Price"
838,"2018-03-24 18:16:00",1.81,4027907156459098,"Brandon Pineda"
860,"2018-03-27 07:04:02",0.78,4268491956169254,"Sara Cooper"
876,"2018-03-29 00:33:24",1.41,584226564303,"Danielle Green"
880,"2018-03-29 14:43:30",1.46,4276466390111,"Sara Cooper"
891,"2018-03-30 16:04:04",1.52,4743204091443101526,"Peter Mckay"
893,"2018-03-30 17:36:58",1.26,3517111172421930,"Robert Johnson"
910,"2018-03-31 23:13:53",1.56,344119623920892,"Malik Carlson"
911,"2018-04-01 01:48:11",1.71,30078299053512,"Elizabeth Sawyer"
913,"2018-04-01 11:54:51",1.08,675911140852,"Shane Shaffer"
917,"2018-04-01 19:06:02",1.29,3582198969197591,"Stephanie Dalton"
940,"2018-04-06 02:30:41",1.44,4263694062533017,"Danielle Green"
942,"2018-04-06 13:03:31",1.43,3561954487988605,"John Martin"
943,"2018-04-06 13:45:51",1.59,584226564303,"Danielle Green"
945,"2018-04-06 16:57:28",1.02,180098539019105,"Brandon Pineda"
947,"2018-04-06 17:48:38",1.78,4188164051171486,"Mark Lewis"
967,"2018-04-08 16:34:54",1.49,3535651398328201,"Kevin Spencer"
971,"2018-04-08 20:15:13",1.21,3561072557118696,"Peter Mckay"
979,"2018-04-09 08:30:25",1.99,4539990688484983,"Sean Taylor"
981,"2018-04-09 10:33:41",1.91,30063281385429,"Michael Floyd"
986,"2018-04-09 19:04:52",1.77,5361779664174555,"Peter Mckay"
999,"2018-04-10 17:43:42",1.5,6500236164848279,"Kyle Tucker"
1018,"2018-04-12 13:09:49",1.7,30181963913340,"Laurie Gibbs"
1020,"2018-04-12 14:37:55",1.52,30063281385429,"Michael Floyd"
1024,"2018-04-13 04:50:37",0.54,5500708021555307,"Crystal Clark"
1048,"2018-04-15 09:50:16",1.54,30142966699187,"Stephanie Dalton"
1052,"2018-04-15 19:22:30",1.82,4188164051171486,"Mark Lewis"
1059,"2018-04-16 19:44:12",1.67,180098539019105,"Brandon Pineda"
1064,"2018-04-17 12:30:48",0.86,5175947111814778,"Gary Jacobs"
1071,"2018-04-18 06:51:00",0.56,5500708021555307,"Crystal Clark"
1086,"2018-04-19 09:58:51",1.58,3561954487988605,"John Martin"
1090,"2018-04-19 22:50:46",1.92,6011987562414062,"Michael Carroll"
1097,"2018-04-20 19:28:47",1.15,4741042733274,"Mark Lewis"
1118,"2018-04-22 04:22:49",1.81,501809222273,"Austin Johnson"
1164,"2018-04-27 16:09:47",1.42,5297187379298983,"Megan Price"
1165,"2018-04-27 17:08:12",0.86,584226564303,"Danielle Green"
1166,"2018-04-27 18:19:37",1.97,501809222273,"Austin Johnson"
1176,"2018-04-29 08:03:32",1.72,4743204091443101526,"Peter Mckay"
1177,"2018-04-29 08:15:40",1.11,3516952396080247,"Sean Taylor"
1180,"2018-04-29 18:35:27",0.7,675911140852,"Shane Shaffer"
1237,"2018-05-05 23:31:16",1.12,4506405265172173,"Kevin Spencer"
1240,"2018-05-06 04:38:27",1.1,372414832802279,"Nancy Contreras"
1243,"2018-05-06 10:34:04",1.5,4159836738768855913,"Beth Hernandez"
1248,"2018-05-06 17:28:44",1.83,3517111172421930,"Robert Johnson"
1251,"2018-05-07 03:36:06",1.13,4150721559116778,"Mark Lewis"
1252,"2018-05-07 04:51:43",1.99,4539990688484983,"Sean Taylor"
1256,"2018-05-07 20:38:11",1.66,5135837688671496,"John Martin"
1264,"2018-05-08 18:52:12",1.95,3516952396080247,"Sean Taylor"
1279,"2018-05-10 05:22:41",1.93,4644008655884311378,"Brandon Pineda"
1287,"2018-05-11 06:13:46",1.81,344119623920892,"Malik Carlson"
1300,"2018-05-12 16:10:59",1.56,584226564303,"Danielle Green"
1315,"2018-05-14 07:06:07",1.46,501879657465,"Megan Price"
1323,"2018-05-14 23:34:39",1.99,4498002758300,"Malik Carlson"
1331,"2018-05-15 12:53:26",1.35,4276466390111,"Sara Cooper"
1366,"2018-05-19 13:41:11",1.27,3516952396080247,"Sean Taylor"
1370,"2018-05-20 03:26:55",1.42,3516952396080247,"Sean Taylor"
1373,"2018-05-20 09:22:21",1.29,584226564303,"Danielle Green"
1374,"2018-05-20 09:33:41",1.9,5135837688671496,"John Martin"
1381,"2018-05-21 09:36:20",1.53,4723783028106084756,"Kyle Tucker"
1395,"2018-05-22 12:15:52",1.18,4962915017023706562,"Matthew Gutierrez"
1398,"2018-05-22 22:34:52",1.19,4866761290278198714,"Shane Shaffer"
1408,"2018-05-24 00:29:49",0.82,4743204091443101526,"Peter Mckay"
1414,"2018-05-24 20:39:06",1.76,675911140852,"Shane Shaffer"
1429,"2018-05-26 06:13:53",1.54,5135837688671496,"John Martin"
1448,"2018-05-28 11:32:33",1.81,4268491956169254,"Sara Cooper"
1449,"2018-05-28 14:46:28",1.53,213193946980303,"Matthew Gutierrez"
1451,"2018-05-28 17:30:04",1.77,4498002758300,"Malik Carlson"
1465,"2018-05-30 08:27:41",0.59,4027907156459098,"Brandon Pineda"
1472,"2018-05-30 23:18:19",0.99,4741042733274,"Mark Lewis"
1476,"2018-05-31 09:07:36",0.83,3582198969197591,"Stephanie Dalton"
1477,"2018-05-31 14:08:40",1.51,4834483169177062,"Michael Floyd"
1487,"2018-06-01 10:25:22",1.92,4159836738768855913,"Beth Hernandez"
1513,"2018-06-04 05:37:55",1.45,3582198969197591,"Stephanie Dalton"
1519,"2018-06-04 17:48:07",1.89,584226564303,"Danielle Green"
1536,"2018-06-06 12:36:03",1.53,3561954487988605,"John Martin"
1540,"2018-06-06 20:39:18",1.88,3516952396080247,"Sean Taylor"
1546,"2018-06-07 07:07:22",1.62,3561072557118696,"Peter Mckay"
1548,"2018-06-07 08:58:28",1.41,4506405265172173,"Kevin Spencer"
1552,"2018-06-07 22:14:56",1.99,3535651398328201,"Kevin Spencer"
1562,"2018-06-08 13:48:44",1.98,3517111172421930,"Robert Johnson"
1573,"2018-06-09 23:50:42",1.03,4319653513507,"Nancy Contreras"
1577,"2018-06-10 04:34:46",1.25,6500236164848279,"Kyle Tucker"
1586,"2018-06-11 15:02:40",1.72,4586962917519654607,"Kevin Spencer"
1599,"2018-06-12 23:23:02",1.69,30063281385429,"Michael Floyd"
1601,"2018-06-13 05:34:22",0.67,344119623920892,"Malik Carlson"
1610,"2018-06-14 11:31:49",1.06,3561954487988605,"John Martin"
1614,"2018-06-14 16:57:50",1.55,376027549341849,"Megan Price"
1635,"2018-06-17 06:52:33",1.89,4962915017023706562,"Matthew Gutierrez"
1637,"2018-06-17 11:02:07",1.26,4188164051171486,"Mark Lewis"
1647,"2018-06-18 14:11:39",1.42,501809222273,"Austin Johnson"
1648,"2018-06-18 15:54:33",1.43,376027549341849,"Megan Price"
1650,"2018-06-18 19:37:57",1.67,675911140852,"Shane Shaffer"
1659,"2018-06-19 08:34:09",1.46,503842928916,"Crystal Clark"
1662,"2018-06-19 14:23:09",1.19,4681896441519,"Stephanie Dalton"
1673,"2018-06-21 12:19:53",1.96,344119623920892,"Malik Carlson"
1688,"2018-06-22 11:53:25",1.29,3517111172421930,"Robert Johnson"
1702,"2018-06-23 19:20:30",1.84,4276466390111,"Sara Cooper"
1724,"2018-06-26 06:14:45",1.36,4644008655884311378,"Brandon Pineda"
1729,"2018-06-26 18:26:50",1.04,3516952396080247,"Sean Taylor"
1741,"2018-06-28 13:11:26",1.37,4539990688484983,"Sean Taylor"
1782,"2018-07-01 20:25:48",1.03,4027907156459098,"Brandon Pineda"
1787,"2018-07-02 04:53:58",0.7,584226564303,"Danielle Green"
1800,"2018-07-03 21:31:10",1.27,5297187379298983,"Megan Price"
1828,"2018-07-06 06:09:32",1.48,4741042733274,"Mark Lewis"
1829,"2018-07-06 10:25:47",1.8,4962915017023706562,"Matthew Gutierrez"
1839,"2018-07-07 00:40:49",1.76,4741042733274,"Mark Lewis"
1843,"2018-07-07 17:26:40",1.89,503842928916,"Crystal Clark"
1848,"2018-07-08 02:51:05",1.08,584226564303,"Danielle Green"
1849,"2018-07-08 04:01:24",1.24,4498002758300,"Malik Carlson"
1850,"2018-07-08 04:14:18",0.86,4723783028106084756,"Kyle Tucker"
1854,"2018-07-08 14:04:49",1.75,3561072557118696,"Peter Mckay"
1865,"2018-07-09 06:17:12",1.46,3582198969197591,"Stephanie Dalton"
1867,"2018-07-09 11:52:10",1.4,4761049645711555811,"Robert Johnson"
1892,"2018-07-11 21:03:30",1.67,4319653513507,"Nancy Contreras"
1902,"2018-07-13 00:08:09",1.96,5297187379298983,"Megan Price"
1904,"2018-07-13 06:19:18",1.56,372414832802279,"Nancy Contreras"
1919,"2018-07-14 17:44:09",0.53,4506405265172173,"Kevin Spencer"
1920,"2018-07-14 19:07:59",1.14,4279104135293225293,"Dana Washington"
1921,"2018-07-14 19:46:53",1.37,4539990688484983,"Sean Taylor"
1935,"2018-07-16 07:21:20",1.27,30063281385429,"Michael Floyd"
1948,"2018-07-17 16:30:39",0.69,3517111172421930,"Robert Johnson"
1950,"2018-07-17 22:11:50",0.52,4506405265172173,"Kevin Spencer"
1952,"2018-07-18 00:07:36",1.54,4681896441519,"Stephanie Dalton"
1953,"2018-07-18 02:21:00",1.0,501879657465,"Megan Price"
1988,"2018-07-21 23:12:46",1.42,3535651398328201,"Kevin Spencer"
1990,"2018-07-22 01:03:31",1.2,4319653513507,"Nancy Contreras"
1999,"2018-07-23 12:02:46",1.13,5135837688671496,"John Martin"
2000,"2018-07-23 15:52:25",1.87,3582198969197591,"Stephanie Dalton"
2006,"2018-07-24 06:24:21",1.13,4743204091443101526,"Peter Mckay"
2008,"2018-07-24 10:05:43",0.89,5500708021555307,"Crystal Clark"
2014,"2018-07-24 16:40:31",1.24,4276466390111,"Sara Cooper"
2035,"2018-07-26 15:52:41",1.63,4681896441519,"Stephanie Dalton"
2062,"2018-07-28 21:24:13",1.75,6011987562414062,"Michael Carroll"
2066,"2018-07-29 06:02:10",1.37,4743204091443101526,"Peter Mckay"
2070,"2018-07-29 12:15:25",1.64,4498002758300,"Malik Carlson"
2110,"2018-08-04 14:32:39",1.92,3581345943543942,"Beth Hernandez"
2120,"2018-08-05 07:24:20",1.09,30063281385429,"Michael Floyd"
2131,"2018-08-06 15:31:03",1.99,5500708021555307,"Crystal Clark"
2136,"2018-08-06 22:27:26",1.49,4586962917519654607,"Kevin Spencer"
2165,"2018-08-09 06:00:26",1.57,4743204091443101526,"Peter Mckay"
2167,"2018-08-09 13:32:28",1.53,3516952396080247,"Sean Taylor"
2181,"2018-08-11 02:47:15",1.65,5570600642865857,"Crystal Clark"
2213,"2018-08-15 10:04:32",1.59,4644008655884311378,"Brandon Pineda"
2215,"2018-08-15 19:32:31",1.29,501809222273,"Austin Johnson"
2238,"2018-08-17 19:58:32",1.77,30142966699187,"Stephanie Dalton"
2242,"2018-08-18 03:47:36",1.09,4741042733274,"Mark Lewis"
2247,"2018-08-18 13:30:26",1.32,180098539019105,"Brandon Pineda"
2248,"2018-08-18 15:34:57",1.56,4279104135293225293,"Dana Washington"
2265,"2018-08-21 16:23:34",1.1,3517111172421930,"Robert Johnson"
2266,"2018-08-21 18:27:46",1.25,4834483169177062,"Michael Floyd"
2288,"2018-08-25 00:07:04",1.51,503842928916,"Crystal Clark"
2301,"2018-08-26 20:31:14",1.78,4644008655884311378,"Brandon Pineda"
2311,"2018-08-27 21:38:29",1.79,501809222273,"Austin Johnson"
2312,"2018-08-28 02:09:41",0.75,3582198969197591,"Stephanie Dalton"
2334,"2018-08-30 02:39:27",1.22,5500708021555307,"Crystal Clark"
2353,"2018-09-01 04:58:06",1.65,3561072557118696,"Peter Mckay"
2365,"2018-09-02 14:39:31",1.39,4743204091443101526,"Peter Mckay"
2366,"2018-09-02 19:10:09",0.62,180098539019105,"Brandon Pineda"
2373,"2018-09-03 19:37:21",1.69,503842928916,"Crystal Clark"
2376,"2018-09-04 09:20:30",1.61,4319653513507,"Nancy Contreras"
2377,"2018-09-04 11:02:04",1.68,4539990688484983,"Sean Taylor"
2396,"2018-09-07 11:02:59",1.57,4188164051171486,"Mark Lewis"
2408,"2018-09-08 15:26:19",1.94,4962915017023706562,"Matthew Gutierrez"
2434,"2018-09-11 17:31:43",0.76,6500236164848279,"Kyle Tucker"
2440,"2018-09-12 07:09:31",1.09,501879657465,"Megan Price"
2442,"2018-09-12 11:34:08",1.8,4165305432349489280,"Matthew Gutierrez"
2513,"2018-09-20 01:42:45",1.5,4268491956169254,"Sara Cooper"
2524,"2018-09-21 01:57:52",1.58,675911140852,"Shane Shaffer"
2527,"2018-09-21 07:53:08",0.61,5361779664174555,"Peter Mckay"
2534,"2018-09-21 18:49:20",1.71,30078299053512,"Elizabeth Sawyer"
2541,"2018-09-22 16:17:08",0.83,4279104135293225293,"Dana Washington"
2553,"2018-09-24 08:19:07",1.89,4743204091443101526,"Peter Mckay"
2568,"2018-09-25 12:53:26",1.95,6011987562414062,"Michael Carroll"
2577,"2018-09-25 23:28:54",1.48,501809222273,"Austin Johnson"
2580,"2018-09-26 08:50:53",1.19,4027907156459098,"Brandon Pineda"
2583,"2018-09-26 21:48:24",1.66,4319653513507,"Nancy Contreras"
2584,"2018-09-26 22:07:52",1.91,584226564303,"Danielle Green"
2586,"2018-09-27 00:37:48",1.66,376027549341849,"Megan Price"
2594,"2018-09-27 12:17:12",1.77,4188164051171486,"Mark Lewis"
2597,"2018-09-28 07:31:10",1.61,4498002758300,"Malik Carlson"
2602,"2018-09-29 01:38:12",1.98,4165305432349489280,"Matthew Gutierrez"
2604,"2018-09-29 06:29:55",1.79,4711773125020499,"John Martin"
2611,"2018-09-29 14:17:31",1.35,4268491956169254,"Sara Cooper"
2631,"2018-10-01 14:17:10",1.31,4279104135293225293,"Dana Washington"
2635,"2018-10-02 02:16:00",0.96,4681896441519,"Stephanie Dalton"
2639,"2018-10-02 07:39:36",1.54,584226564303,"Danielle Green"
2643,"2018-10-02 18:48:15",1.17,4866761290278198714,"Shane Shaffer"
2655,"2018-10-03 19:22:46",1.79,5175947111814778,"Gary Jacobs"
2658,"2018-10-04 02:40:21",1.93,501879657465,"Megan Price"
2663,"2018-10-04 17:23:47",1.12,4268491956169254,"Sara Cooper"
2670,"2018-10-05 08:27:56",1.36,30078299053512,"Elizabeth Sawyer"
2675,"2018-10-05 19:04:16",1.54,4761049645711555811,"Robert Johnson"
2678,"2018-10-05 22:12:25",1.63,5361779664174555,"Peter Mckay"
2684,"2018-10-06 05:51:17",1.23,4723783028106084756,"Kyle Tucker"
2691,"2018-10-06 20:23:45",0.77,30142966699187,"Stephanie Dalton"
2699,"2018-10-07 11:05:05",1.18,376027549341849,"Megan Price"
2702,"2018-10-07 14:30:10",1.95,4539990688484983,"Sean Taylor"
2705,"2018-10-07 18:42:39",1.4,4506405265172173,"Kevin Spencer"
2707,"2018-10-07 20:28:59",1.01,3516952396080247,"Sean Taylor"
2716,"2018-10-08 08:18:57",1.74,372414832802279,"Nancy Contreras"
2719,"2018-10-08 14:55:01",1.19,4711773125020499,"John Martin"
2735,"2018-10-10 09:01:17",1.6,5175947111814778,"Gary Jacobs"
2742,"2018-10-11 07:53:12",1.63,30063281385429,"Michael Floyd"
2743,"2018-10-11 08:58:22",1.67,584226564303,"Danielle Green"
2752,"2018-10-12 00:26:33",1.37,501879657465,"Megan Price"
2776,"2018-10-14 23:09:15",1.05,376027549341849,"Megan Price"
2805,"2018-10-18 15:32:03",1.21,4962915017023706562,"Matthew Gutierrez"
2813,"2018-10-19 01:16:05",0.7,376027549341849,"Megan Price"
2817,"2018-10-19 17:15:50",1.95,3561954487988605,"John Martin"
2847,"2018-10-22 13:46:10",1.92,4159836738768855913,"Beth Hernandez"
2856,"2018-10-23 10:56:18",1.62,180098539019105,"Brandon Pineda"
2859,"2018-10-23 20:11:25",1.36,344119623920892,"Malik Carlson"
2874,"2018-10-25 10:50:01",1.93,4263694062533017,"Danielle Green"
2884,"2018-10-26 11:56:34",1.18,5297187379298983,"Megan Price"
2885,"2018-10-26 16:56:14",1.15,4681896441519,"Stephanie Dalton"
2910,"2018-10-28 23:57:52",1.28,4741042733274,"Mark Lewis"
2920,"2018-10-29 20:36:38",1.81,213193946980303,"Matthew Gutierrez"
2928,"2018-10-30 10:17:41",1.58,376027549341849,"Megan Price"
2939,"2018-10-31 19:53:36",0.91,213193946980303,"Matthew Gutierrez"
2955,"2018-11-02 12:14:33",1.86,3561072557118696,"Peter Mckay"
2983,"2018-11-05 16:16:50",1.46,4027907156459098,"Brandon Pineda"
2991,"2018-11-06 18:14:12",0.81,5175947111814778,"Gary Jacobs"
2995,"2018-11-07 04:10:04",1.14,3561954487988605,"John Martin"
3018,"2018-11-09 09:18:16",1.51,5500708021555307,"Crystal Clark"
3039,"2018-11-11 04:17:33",1.47,4586962917519654607,"Kevin Spencer"
3058,"2018-11-12 04:53:21",1.75,344119623920892,"Malik Carlson"
3071,"2018-11-14 06:37:02",1.93,4834483169177062,"Michael Floyd"
3087,"2018-11-15 14:17:09",1.89,372414832802279,"Nancy Contreras"
3095,"2018-11-17 04:59:45",1.3,4159836738768855913,"Beth Hernandez"
3103,"2018-11-18 05:40:13",1.7,376027549341849,"Megan Price"
3108,"2018-11-18 14:26:48",1.04,4165305432349489280,"Matthew Gutierrez"
3121,"2018-11-20 03:51:55",0.62,5135837688671496,"John Martin"
3133,"2018-11-21 04:29:57",1.82,4834483169177062,"Michael Floyd"
3140,"2018-11-22 04:16:33",0.69,4498002758300,"Malik Carlson"
3142,"2018-11-22 10:40:43",1.81,5175947111814778,"Gary Jacobs"
3178,"2018-11-26 06:54:00",1.87,3516952396080247,"Sean Taylor"
3183,"2018-11-26 20:19:56",1.77,344119623920892,"Malik Carlson"
3190,"2018-11-27 16:35:30",1.29,3561954487988605,"John Martin"
3212,"2018-11-30 00:50:23",1.8,180098539019105,"Brandon Pineda"
3215,"2018-11-30 09:08:26",1.53,503842928916,"Crystal Clark"
3227,"2018-12-01 21:08:36",0.71,5175947111814778,"Gary Jacobs"
3228,"2018-12-01 23:15:08",1.01,4263694062533017,"Danielle Green"
3233,"2018-12-02 15:46:59",1.18,3561072557118696,"Peter Mckay"
3246,"2018-12-04 14:12:41",1.74,4498002758300,"Malik Carlson"
3253,"2018-12-06 01:19:03",1.53,30181963913340,"Laurie Gibbs"
3256,"2018-12-06 04:42:30",0.92,4165305432349489280,"Matthew Gutierrez"
3289,"2018-12-09 11:08:30",1.54,4506405265172173,"Kevin Spencer"
3292,"2018-12-09 19:57:51",1.11,3582198969197591,"Stephanie Dalton"
3298,"2018-12-10 04:30:42",1.78,6500236164848279,"Kyle Tucker"
3302,"2018-12-10 11:26:49",1.8,4586962917519654607,"Kevin Spencer"
3314,"2018-12-12 04:29:25",1.31,213193946980303,"Matthew Gutierrez"
3338,"2018-12-14 20:33:40",1.81,376027549341849,"Megan Price"
3352,"2018-12-16 09:38:32",1.39,4586962917519654607,"Kevin Spencer"
3360,"2018-12-17 06:29:25",1.28,4644008655884311378,"Brandon Pineda"
3362,"2018-12-17 13:47:00",1.66,4539990688484983,"Sean Taylor"
3372,"2018-12-18 07:36:22",1.45,4188164051171486,"Mark Lewis"
3378,"2018-12-18 16:12:08",1.64,180098539019105,"Brandon Pineda"
3379,"2018-12-18 16:18:18",1.27,4723783028106084756,"Kyle Tucker"
3398,"2018-12-20 08:00:01",0.78,4743204091443101526,"Peter Mckay"
3400,"2018-12-20 17:20:27",1.88,344119623920892,"Malik Carlson"
3403,"2018-12-21 01:16:45",1.45,4263694062533017,"Danielle Green"
3408,"2018-12-22 04:20:43",1.8,5297187379298983,"Megan Price"
3416,"2018-12-23 03:34:08",0.86,4165305432349489280,"Matthew Gutierrez"
3420,"2018-12-23 15:16:09",1.83,4962915017023706562,"Matthew Gutierrez"
3429,"2018-12-24 13:45:58",1.77,4150721559116778,"Mark Lewis"
3432,"2018-12-24 21:17:18",1.16,4165305432349489280,"Matthew Gutierrez"
3445,"2018-12-26 18:02:58",1.2,4834483169177062,"Michael Floyd"
3448,"2018-12-26 19:55:23",1.45,3561072557118696,"Peter Mckay"
3461,"2018-12-27 18:46:57",1.7,344119623920892,"Malik Carlson"
3462,"2018-12-27 18:47:35",1.32,4681896441519,"Stephanie Dalton"
3485,"2018-12-30 10:36:22",1.5,6500236164848279,"Kyle Tucker"
